Street,Latitude,Longitude
Aston_Quay_Fitzgeralds,53.34682178272587,-6.259566230136205
Bachelors_walk_Bachelors_way,53.34787580359153,-6.260115020892751
Baggot_st_lower_Wilton_tce_inbound,53.33866314658316,-6.251027888157927
Baggot_st_upper_Mespil_rd_Bank,53.33532834065602,-6.244762258367038
Capel_st_Mary_street,53.34690620381805,-6.268022383942769
College_Green_Bank_Of_Ireland,53.34486917229256,-6.259996845478426
College_Green_Church_Lane,53.34428437591559,-6.260807687807437
College_st_Westmoreland_st,53.3459551758365,-6.259153374313895
D'olier_st_Burgh_Quay,53.34666327843762,-6.258251403149368
Dame_Street_Londis,53.349218251710376,-6.259281417107267
Grafton_st_Monsoon,53.30299272416634,-6.24447500087134
Grafton_Street_Nassau_Street_Suffolk_Street,53.34337934213485,-6.259348596498242
Grafton_Street_CompuB,53.3405742043099,-6.262044560820824
Grand_Canal_st_upp_Clanwilliam_place,53.33866009884719,-6.239822674314362
Grand_Canal_st_upp_Clanwilliam_place_Google,53.34218036867022,-6.246124617408617
Henry_Street_Coles_Lane_Dunnes,53.34954853811291,-6.2629468013004885
Liffey_st_Halfpenny_Bridge,53.34644355483402,-6.263092174313845
Mary_st_Jervis_st,53.348904657538924,-6.266753591504499
North_Wall_Quay_Samuel_Beckett_bridge_East,53.347183429106025,-6.24127751849144
North_Wall_Quay_Samuel_Beckett_bridge_West,53.34753199910301,-6.236891016642732
O'Connell_St_Parnell_St_AIB,53.348643610947164,-6.269144502066514
O'Connell_St_Pennys_Pedestrian,53.34890496781694,-6.260837647965174
O'Connell_st_Princes_st_North,53.34763040234796,-6.26031193518311
Phibsborough_Rd_Enniskerry_Road,53.363620315535044,-6.271450674312764
Richmond_st_south_Portabello_Harbour_inbound,53.33071762026633,-6.263971342984567
Richmond_st_south_Portabello_Harbour_outbound,53.331230193937415,-6.2660741947476195
Talbot_st_Guineys,53.350505031706795,-6.255412489655701
Westmoreland_Street_West_Carrolls,53.34691163229067,-6.259285645024198
